"Gene","name","chrom","locus","strand","hm.scores"
"ENSG00000160075","SSU72","chr1",1510262,"-",231.84
"ENSG00000228594","C1orf233","chr1",1535476,"-",2600.4
"ENSG00000197530","MIB2","chr1",1551689,"+",333.8
"ENSG00000189409","MMP23B","chr1",1567559,"+",2346.24
"ENSG00000248333","CDK11B","chr1",1655775,"-",167.76
"ENSG00000008128","CDK11A","chr1",1655791,"-",167.76
"ENSG00000215790","SLC35E2","chr1",1677438,"-",196.64
"ENSG00000008130","NADK","chr1",1711508,"-",189.48
"ENSG00000078369","GNB1","chr1",1822526,"-",259.48
"ENSG00000169885","CALML6","chr1",1846265,"+",207.68
"ENSG00000178821","TMEM52","chr1",1850740,"-",600.8
"ENSG00000187730","GABRD","chr1",1950767,"+",1812.68
"ENSG00000067606","PRKCZ","chr1",1981908,"+",367.68
"ENSG00000162585","C1orf86","chr1",2126214,"-",72.04
"ENSG00000157933","SKI","chr1",2160133,"+",275.6
"ENSG00000116151","MORN1","chr1",2322993,"-",195.36
"ENSG00000157916","RER1","chr1",2323213,"+",211.76
"ENSG00000157911","PEX10","chr1",2344010,"-",310.56
"ENSG00000149527","PLCH2","chr1",2407753,"+",286.92
"ENSG00000157881","PANK4","chr1",2458035,"-",2521.2
"ENSG00000197921","HES5","chr1",2461684,"-",5304.80000000001
"ENSG00000157873","TNFRSF14","chr1",2487804,"+",206.2
"ENSG00000157870","FAM213B","chr1",2517898,"+",155.56
"ENSG00000215912","TTC34","chr1",2706230,"-",148.92
"ENSG00000169717","ACTRT2","chr1",2938045,"+",224
"ENSG00000130762","ARHGEF16","chr1",3371146,"+",363.52
"ENSG00000162591","MEGF6","chr1",3528059,"-",1338.32
"ENSG00000158109","TPRG1L","chr1",3541555,"+",334.32
"ENSG00000116213","WRAP73","chr1",3566671,"-",4555.56
"ENSG00000078900","TP73","chr1",3569128,"+",9568.12
"ENSG00000162592","CCDC27","chr1",3668964,"+",468.36
"ENSG00000235169","SMIM1","chr1",3689333,"+",451.72
"ENSG00000130764","LRRC47","chr1",3713068,"-",96
"ENSG00000116198","CEP104","chr1",3773797,"-",401.88
"ENSG00000169598","DFFB","chr1",3773844,"+",429.6
"ENSG00000196581","AJAP1","chr1",4715104,"+",4999.36
"ENSG00000069424","KCNAB2","chr1",6052357,"+",729
"ENSG00000116254","CHD5","chr1",6240194,"-",4206.4
"ENSG00000116251","RPL22","chr1",6259679,"-",234.12
"ENSG00000158286","RNF207","chr1",6266188,"+",2375.32
"ENSG00000116237","ICMT","chr1",6296044,"-",147.2
"ENSG00000173673","HES3","chr1",6304251,"+",747.28
"ENSG00000158292","GPR153","chr1",6321035,"-",1232.88
"ENSG00000097021","ACOT7","chr1",6453826,"-",497.12
"ENSG00000069812","HES2","chr1",6479979,"-",10192.84
"ENSG00000187017","ESPN","chr1",6484847,"+",9673.03999999999
"ENSG00000215788","TNFRSF25","chr1",6526255,"-",750.48
"ENSG00000171680","PLEKHG5","chr1",6580121,"-",176
"ENSG00000162408","NOL9","chr1",6614658,"-",199.04
"ENSG00000173662","TAS1R1","chr1",6615337,"+",190.36
"ENSG00000204859","ZBTB48","chr1",6640055,"+",261.12
"ENSG00000162413","KLHL21","chr1",6662929,"-",372.08
"ENSG00000116273","PHF13","chr1",6673755,"+",242
"ENSG00000041988","THAP3","chr1",6684924,"+",154.2
"ENSG00000007923","DNAJC11","chr1",6761966,"-",320
"ENSG00000171735","CAMTA1","chr1",6845383,"+",168
"ENSG00000049245","VAMP3","chr1",7831328,"+",144
"ENSG00000049246","PER3","chr1",7844379,"+",751.12
"ENSG00000049247","UTS2","chr1",7973294,"-",164.4
"ENSG00000049249","TNFRSF9","chr1",8003225,"-",2799.4
"ENSG00000116288","PARK7","chr1",8021713,"+",139.72
"ENSG00000116285","ERRFI1","chr1",8086393,"-",1062.88
"ENSG00000162426","SLC45A1","chr1",8384389,"+",246.56
"ENSG00000142599","RERE","chr1",8877699,"-",162.24
"ENSG00000074800","ENO1","chr1",8939151,"-",157.4
"ENSG00000131686","CA6","chr1",9005892,"+",310.16
"ENSG00000197241","SLC2A7","chr1",9086404,"-",111.84
"ENSG00000142583","SLC2A5","chr1",9129887,"-",148.2
"ENSG00000180758","GPR157","chr1",9189229,"-",1173.88
"ENSG00000049239","H6PD","chr1",9294862,"+",266.84
"ENSG00000171621","SPSB1","chr1",9352940,"+",1670.28
"ENSG00000171612","SLC25A33","chr1",9599527,"+",248
"ENSG00000188807","TMEM201","chr1",9648931,"+",188.88
"ENSG00000171608","PIK3CD","chr1",9711789,"+",2069.88
"ENSG00000179840","C1orf200","chr1",9714644,"-",1355.72
"ENSG00000171603","CLSTN1","chr1",9884550,"-",1459.8
"ENSG00000178585","CTNNBIP1","chr1",9970316,"-",105.2
"ENSG00000162441","LZIC","chr1",10003427,"-",89.56
"ENSG00000173614","NMNAT1","chr1",10003485,"+",88
"ENSG00000054523","KIF1B","chr1",10270763,"+",217.6
"ENSG00000142657","PGD","chr1",10459084,"+",214.64
"ENSG00000175279","APITD1","chr1",10490158,"+",288
"ENSG00000251503","APITD1-CORT","chr1",10490803,"+",315.56
"ENSG00000241563","CORT","chr1",10509775,"+",77
"ENSG00000160049","DFFA","chr1",10532613,"-",186.72
"ENSG00000142655","PEX14","chr1",10535002,"+",140.84
"ENSG00000130940","CASZ1","chr1",10856733,"-",1811.28
"ENSG00000175262","C1orf127","chr1",11042094,"-",279.72
"ENSG00000120948","TARDBP","chr1",11072678,"+",181.32
"ENSG00000009724","MASP2","chr1",11107296,"-",222.92
"ENSG00000116649","SRM","chr1",11120091,"-",120
"ENSG00000171824","EXOSC10","chr1",11159938,"-",175.52
"ENSG00000171819","ANGPTL7","chr1",11249345,"+",96
"ENSG00000198793","MTOR","chr1",11322608,"-",141.56
"ENSG00000120942","UBIAD1","chr1",11333254,"+",118.24
"ENSG00000204624","PTCHD2","chr1",11539294,"+",1867.68
"ENSG00000132879","FBXO44","chr1",11714431,"+",474.32
"ENSG00000116661","FBXO2","chr1",11714888,"-",393.08
"ENSG00000116663","FBXO6","chr1",11724149,"+",255.6
"ENSG00000116670","MAD2L2","chr1",11751678,"-",379.56
"ENSG00000162490","DRAXIN","chr1",11751780,"+",412
"ENSG00000177674","AGTRAP","chr1",11796141,"+",231.16
"ENSG00000011021","CLCN6","chr1",11866152,"+",119.16
"ENSG00000177000","MTHFR","chr1",11866160,"-",114.12
"ENSG00000175206","NPPA","chr1",11907840,"-",252.28
"ENSG00000120937","NPPB","chr1",11918992,"-",1285.76
"ENSG00000116685","KIAA2013","chr1",11986485,"-",264
"ENSG00000083444","PLOD1","chr1",11994723,"+",116.56
"ENSG00000116688","MFN2","chr1",12040237,"+",136
"ENSG00000116691","MIIP","chr1",12079298,"+",135.92
"ENSG00000120949","TNFRSF8","chr1",12123433,"+",1741.96
"ENSG00000028137","TNFRSF1B","chr1",12227059,"+",2175.84
"ENSG00000204518","AADACL4","chr1",12704565,"+",302.2
"ENSG00000188984","AADACL3","chr1",12776117,"+",190.92
"ENSG00000116726","PRAMEF12","chr1",12834983,"+",223.36
"ENSG00000116721","PRAMEF1","chr1",12851545,"+",263.88
"ENSG00000179172","HNRNPCL1","chr1",12908578,"-",192
"ENSG00000120952","PRAMEF2","chr1",12916940,"+",84.6
"ENSG00000243073","PRAMEF4","chr1",12946025,"-",150.56
"ENSG00000187545","PRAMEF10","chr1",12958094,"-",67.52
"ENSG00000232423","PRAMEF6","chr1",13007406,"-",209.64
"ENSG00000182330","PRAMEF8","chr1",13390765,"-",88.72
"ENSG00000204501","PRAMEF9","chr1",13421175,"+",108.32
"ENSG00000277853","PRAMEF19","chr1",13698405,"-",88
"ENSG00000204479","PRAMEF17","chr1",13716087,"+",93.44
"ENSG00000204478","PRAMEF20","chr1",13736906,"+",69.48
"ENSG00000162494","LRRC38","chr1",13840242,"-",6305.44000000001
"ENSG00000162493","PDPN","chr1",13910251,"+",458.56
"ENSG00000116731","PRDM2","chr1",14026734,"+",1309.56
"ENSG00000189337","KAZN","chr1",14925212,"+",1739.16
"ENSG00000171729","TMEM51","chr1",15479027,"+",1261.52
"ENSG00000142621","FHAD1","chr1",15573767,"+",251.6
"ENSG00000142634","EFHD2","chr1",15736390,"+",1164.6
"ENSG00000162438","CTRC","chr1",15764937,"+",232
"ENSG00000142615","CELA2A","chr1",15783222,"+",243.08
"ENSG00000215704","CELA2B","chr1",15802595,"+",144
"ENSG00000132906","CASP9","chr1",15851285,"-",124.68
"ENSG00000116138","DNAJC16","chr1",15853351,"+",135.76
"ENSG00000116771","AGMAT","chr1",15911605,"-",234.84
"ENSG00000197312","DDI2","chr1",15943952,"+",165.68
"ENSG00000215695","RSC1A1","chr1",15986363,"+",120.16
"ENSG00000116786","PLEKHM2","chr1",16010826,"+",93.64
"ENSG00000162461","SLC25A34","chr1",16062808,"+",144.04
"ENSG00000162460","TMEM82","chr1",16068986,"+",189.08
"ENSG00000162458","FBLIM1","chr1",16083153,"+",411
"ENSG00000065526","SPEN","chr1",16174358,"+",300.76
"ENSG00000116809","ZBTB17","chr1",16302627,"-",157.92
"ENSG00000183888","C1orf64","chr1",16330730,"+",365.52
"ENSG00000173641","HSPB7","chr1",16346089,"-",471.32
"ENSG00000186510","CLCNKA","chr1",16348485,"+",768
"ENSG00000184908","CLCNKB","chr1",16355620,"+",449.44
"ENSG00000185519","FAM131C","chr1",16400127,"-",2323.8
"ENSG00000142627","EPHA2","chr1",16482582,"-",697.08
"ENSG00000142632","ARHGEF19","chr1",16539104,"-",186.96
"ENSG00000132881","RSG1","chr1",16563659,"-",398
"ENSG00000037637","FBXO42","chr1",16678948,"-",225.28
"ENSG00000055070","SZRD1","chr1",16693524,"+",285.6
"ENSG00000187144","SPATA21","chr1",16763919,"-",217.2
"ENSG00000157191","NECAP2","chr1",16767166,"+",457.36
"ENSG00000219481","NBPF1","chr1",16940100,"-",6780.84
"ENSG00000058453","CROCC","chr1",17248444,"+",176
"ENSG00000117122","MFAP2","chr1",17308081,"-",380.64
"ENSG00000159363","ATP13A2","chr1",17338423,"-",328.28
"ENSG00000117118","SDHB","chr1",17380665,"-",147.68
"ENSG00000117115","PADI2","chr1",17445948,"-",3807
"ENSG00000142623","PADI1","chr1",17531620,"+",144.68
"ENSG00000142619","PADI3","chr1",17575592,"+",213.24
"ENSG00000159339","PADI4","chr1",17634689,"+",238.72
"ENSG00000179051","RCC2","chr1",17766250,"-",755.28
"ENSG00000074964","ARHGEF10L","chr1",17866329,"+",181.8
"ENSG00000117148","ACTL8","chr1",18081807,"+",215.76
"ENSG00000117154","IGSF21","chr1",18434239,"+",4965.44
"ENSG00000179023","KLHDC7A","chr1",18807423,"+",406.04
"ENSG00000009709","PAX7","chr1",18957499,"+",8807.44
"ENSG00000179002","TAS1R2","chr1",19186155,"-",346.96
"ENSG00000159423","ALDH4A1","chr1",19229293,"-",479.84
"ENSG00000169991","IFFO2","chr1",19282826,"-",1831.44
"ENSG00000127481","UBR4","chr1",19536746,"-",111.28
"ENSG00000127463","EMC1","chr1",19578053,"-",148.28
"ENSG00000053372","MRTO4","chr1",19578074,"+",142.48
"ENSG00000211454","AKR7L","chr1",19600568,"-",518.24
"ENSG00000162482","AKR7A3","chr1",19615280,"-",1902.84
"ENSG00000053371","AKR7A2","chr1",19638640,"-",577.84
"ENSG00000040487","PQLC2","chr1",19638739,"+",583.44
"ENSG00000077549","CAPZB","chr1",19812066,"-",200
"ENSG00000173436","MINOS1","chr1",19923470,"+",172.56
"ENSG00000158747","NBL1","chr1",19969722,"+",4946.88
"ENSG00000158748","HTR6","chr1",19991779,"+",4011.12
"ENSG00000162542","TMCO4","chr1",20126758,"-",1888.76
"ENSG00000178828","RNF186","chr1",20141771,"-",352
"ENSG00000169914","OTUD3","chr1",20208887,"+",213.64
"ENSG00000188784","PLA2G2E","chr1",20250110,"-",212.2
"ENSG00000188257","PLA2G2A","chr1",20306932,"-",270.84
"ENSG00000127472","PLA2G5","chr1",20396700,"+",240.92
"ENSG00000117215","PLA2G2D","chr1",20446059,"-",228.88
"ENSG00000158786","PLA2G2F","chr1",20465822,"+",240
"ENSG00000187980","PLA2G2C","chr1",20501687,"-",274.08
"ENSG00000162543","UBXN10","chr1",20512577,"+",1009
"ENSG00000158816","VWA5B1","chr1",20617411,"+",1556.2
"ENSG00000162545","CAMK2N1","chr1",20812728,"-",2674.72
"ENSG00000090432","MUL1","chr1",20834674,"-",264.16
"ENSG00000183114","FAM43B","chr1",20878931,"+",7683.28
"ENSG00000158825","CDA","chr1",20915443,"+",269.88
"ENSG00000158828","PINK1","chr1",20959947,"+",360
"ENSG00000244038","DDOST","chr1",20988037,"-",193.6
"ENSG00000117245","KIF17","chr1",21044317,"-",1022.04
"ENSG00000189410","SH2D5","chr1",21059133,"-",2123.2
"ENSG00000127483","HP1BP3","chr1",21113799,"-",202.04
"ENSG00000075151","EIF4G3","chr1",21503381,"-",397.88
"ENSG00000117298","ECE1","chr1",21672034,"-",1416.4
"ENSG00000142794","NBPF3","chr1",21766582,"+",2047.84
"ENSG00000162551","ALPL","chr1",21835857,"+",1031.88
"ENSG00000076864","RAP1GAP","chr1",21995856,"-",1643.12
"ENSG00000090686","USP48","chr1",22109688,"-",197.72
"ENSG00000187942","LDLRAD2","chr1",22138757,"+",427.28
"ENSG00000142798","HSPG2","chr1",22263750,"-",308.52
"ENSG00000219073","CELA3B","chr1",22303417,"+",239.4
"ENSG00000142789","CELA3A","chr1",22328148,"+",243.24
"ENSG00000070831","CDC42","chr1",22379119,"+",176
"ENSG00000162552","WNT4","chr1",22470385,"-",1381.96
"ENSG00000184677","ZBTB40","chr1",22778343,"+",228.32
"ENSG00000070886","EPHA8","chr1",22890003,"+",2972.64
"ENSG00000173372","C1QA","chr1",22963117,"+",216.24
"ENSG00000159189","C1QC","chr1",22970117,"+",282.76
"ENSG00000173369","C1QB","chr1",22979681,"+",375.48
"ENSG00000133216","EPHB2","chr1",23037330,"+",1981.2
"ENSG00000227868","C1orf234","chr1",23342343,"-",124.92
"ENSG00000004487","KDM1A","chr1",23345940,"+",184
"ENSG00000169641","LUZP1","chr1",23504301,"-",1716.88
"ENSG00000179546","HTR1D","chr1",23521222,"-",114.2
"ENSG00000125944","HNRNPR","chr1",23670853,"-",521.08
"ENSG00000249087","C1orf213","chr1",23695463,"+",5110.04
"ENSG00000125945","ZNF436","chr1",23696357,"-",4944.88
"ENSG00000204219","TCEA3","chr1",23751261,"-",8476.36
"ENSG00000088280","ASAP3","chr1",23810750,"-",622.12
"ENSG00000007968","E2F2","chr1",23857712,"-",1934.72
"ENSG00000117318","ID3","chr1",23886285,"-",444.16
"ENSG00000142676","RPL11","chr1",24018268,"+",176.16
"ENSG00000011007","TCEB3","chr1",24069855,"+",290.76
"ENSG00000057757","PITHD1","chr1",24104875,"+",139.04
"ENSG00000011009","LYPLA2","chr1",24117645,"+",149.12
"ENSG00000117308","GALE","chr1",24127294,"-",387.6
"ENSG00000117305","HMGCL","chr1",24151949,"-",204.56
"ENSG00000179163","FUCA1","chr1",24194859,"-",1879.88
"ENSG00000188822","CNR2","chr1",24239817,"-",146.28
"ENSG00000189266","PNRC2","chr1",24286300,"+",145.92
"ENSG00000188529","SRSF10","chr1",24306953,"-",143.36
"ENSG00000142661","MYOM3","chr1",24421493,"-",235.12
"ENSG00000142677","IL22RA1","chr1",24469775,"-",310.72
"ENSG00000185436","IFNLR1","chr1",24513765,"-",320
"ENSG00000158055","GRHL3","chr1",24645811,"+",1356.56
"ENSG00000001460","STPG1","chr1",24741587,"-",239
"ENSG00000001461","NIPAL3","chr1",24742244,"+",195.64
"ENSG00000117602","RCAN3","chr1",24828840,"+",649.84
"ENSG00000184454","NCMAP","chr1",24882566,"+",1757
"ENSG00000133226","SRRM1","chr1",24969593,"+",200.08
"ENSG00000169504","CLIC4","chr1",25071759,"+",210.32
"ENSG00000020633","RUNX3","chr1",25291501,"-",321.84
"ENSG00000117614","SYF2","chr1",25559013,"-",168
"ENSG00000117616","C1orf63","chr1",25573985,"-",112
"ENSG00000187010","RHD","chr1",25598980,"+",555.52
"ENSG00000183726","TMEM50A","chr1",25664788,"+",261.12
"ENSG00000188672","RHCE","chr1",25756683,"-",384.72
"ENSG00000204178","TMEM57","chr1",25757387,"+",293.84
"ENSG00000157978","LDLRAP1","chr1",25870075,"+",576.96
"ENSG00000117643","MAN1C1","chr1",25943958,"+",2297.44
"ENSG00000162430","SEPN1","chr1",26126666,"+",565.52
"ENSG00000117640","MTFR1L","chr1",26146396,"+",526
"ENSG00000228172","AL020996.1","chr1",26150097,"-",398
"ENSG00000127423","AUNIP","chr1",26185848,"-",231.4
"ENSG00000182749","PAQR7","chr1",26197744,"-",198.28
"ENSG00000117632","STMN1","chr1",26233368,"-",338.24
"ENSG00000158006","PAFAH2","chr1",26324648,"-",271.36
"ENSG00000158008","EXTL1","chr1",26348270,"+",237.28
"ENSG00000158014","SLC30A2","chr1",26372604,"-",9598.96
"ENSG00000158022","TRIM63","chr1",26394125,"-",392
"ENSG00000175087","PDIK1L","chr1",26437655,"+",746.6
"ENSG00000197245","FAM110D","chr1",26485510,"+",2728.92
"ENSG00000142684","ZNF593","chr1",26496387,"+",608.68
"ENSG00000142675","CNKSR1","chr1",26503980,"+",140.68
"ENSG00000188782","CATSPER4","chr1",26517118,"+",240
"ENSG00000130695","CEP85","chr1",26560692,"+",466.88
"ENSG00000142669","SH3BGRL3","chr1",26606212,"+",152
"ENSG00000169442","CD52","chr1",26644410,"+",176
"ENSG00000158062","UBXN11","chr1",26644756,"-",176
"ENSG00000176092","AIM1L","chr1",26680621,"-",209.28
"ENSG00000131914","LIN28A","chr1",26737268,"+",246.56
"ENSG00000198830","HMGN2","chr1",26798901,"+",424
"ENSG00000117676","RPS6KA1","chr1",26856248,"+",262.84
"ENSG00000117713","ARID1A","chr1",27022521,"+",370.12
"ENSG00000060642","PIGV","chr1",27114453,"+",249.36
"ENSG00000204160","ZDHHC18","chr1",27153200,"+",301.72
"ENSG00000175793","SFN","chr1",27189632,"+",1251.88
"ENSG00000142751","GPN2","chr1",27216869,"-",128
"ENSG00000198746","GPATCH3","chr1",27226962,"-",134.76
"ENSG00000131910","NR0B2","chr1",27240567,"-",395.44
"ENSG00000090273","NUDC","chr1",27248212,"+",177.2
"ENSG00000175707","C1orf172","chr1",27286901,"-",232.92
"ENSG00000253368","TRNP1","chr1",27320194,"+",323.36
"ENSG00000158246","FAM46B","chr1",27339333,"-",192.96
"ENSG00000090020","SLC9A1","chr1",27481621,"-",315.36
"ENSG00000142784","WDTC1","chr1",27561006,"+",320.24
"ENSG00000186501","TMEM222","chr1",27648635,"+",182.12
"ENSG00000142765","SYTL1","chr1",27668482,"+",401.56
"ENSG00000142733","MAP3K6","chr1",27693337,"-",291.76
"ENSG00000142748","FCN3","chr1",27701315,"-",230.84
"ENSG00000174950","CD164L2","chr1",27709805,"-",728.72
"ENSG00000181773","GPR3","chr1",27719147,"+",304.16
"ENSG00000126705","AHDC1","chr1",27930143,"-",270.96
"ENSG00000000938","FGR","chr1",27961727,"-",4242.04
"ENSG00000126709","IFI6","chr1",27998724,"-",186.36
"ENSG00000009780","FAM76A","chr1",28052489,"+",327.08
"ENSG00000117758","STX12","chr1",28099693,"+",200
"ENSG00000117751","PPP1R8","chr1",28157251,"+",170.04
"ENSG00000130775","THEMIS2","chr1",28199054,"+",516.68
"ENSG00000117748","RPA2","chr1",28241236,"-",711.04
"ENSG00000130768","SMPDL3B","chr1",28261503,"+",232.6
"ENSG00000158156","XKR8","chr1",28286503,"+",342.36
"ENSG00000158161","EYA3","chr1",28415148,"-",152.68
"ENSG00000169403","PTAFR","chr1",28520447,"-",175
"ENSG00000126698","DNAJC8","chr1",28559542,"-",134.72
"ENSG00000130770","ATPIF1","chr1",28562601,"+",183.64
"ENSG00000130766","SESN2","chr1",28585962,"+",254.96
"ENSG00000130772","MED18","chr1",28655512,"+",123.52
"ENSG00000204138","PHACTR4","chr1",28696092,"+",93.6
"ENSG00000180198","RCC1","chr1",28832454,"+",125.56
"ENSG00000180098","TRNAU1AP","chr1",28879528,"+",92.92
"ENSG00000188060","RAB42","chr1",28918711,"+",687.28
"ENSG00000120656","TAF12","chr1",28969604,"-",205.52
"ENSG00000162419","GMEB1","chr1",28995239,"+",99.44
"ENSG00000198492","YTHDF2","chr1",29063132,"+",192
"ENSG00000116329","OPRD1","chr1",29138653,"+",4068.8
"ENSG00000159023","EPB41","chr1",29213602,"+",801.32
"ENSG00000253304","TMEM200B","chr1",29450421,"-",3290.08
"ENSG00000116350","SRSF4","chr1",29508637,"-",150
"ENSG00000116353","MECR","chr1",29557454,"-",408.24
"ENSG00000060656","PTPRU","chr1",29563027,"+",6370.88
"ENSG00000162510","MATN1","chr1",31196432,"-",269.72
"ENSG00000162511","LAPTM5","chr1",31230683,"-",263.76
"ENSG00000162512","SDC3","chr1",31381480,"-",1213.6
"ENSG00000134644","PUM1","chr1",31538763,"-",145
"ENSG00000084628","NKAIN1","chr1",31712734,"-",1352.52
"ENSG00000060688","SNRNP40","chr1",31769644,"-",127.4
"ENSG00000121766","ZCCHC17","chr1",31769841,"+",132.52
"ENSG00000121769","FABP3","chr1",31845923,"-",534.24
"ENSG00000168528","SERINC2","chr1",31882411,"+",384.84
"ENSG00000142910","TINAGL1","chr1",32042085,"+",438.12
"ENSG00000121764","HCRTR1","chr1",32083300,"+",1895.28
"ENSG00000162517","PEF1","chr1",32110838,"-",145.24
"ENSG00000084636","COL16A1","chr1",32169768,"-",571.28
"ENSG00000121753","BAI2","chr1",32229648,"-",1256
"ENSG00000134668","SPOCD1","chr1",32281580,"-",280.64
"ENSG00000184007","PTP4A2","chr1",32403988,"-",438.28
"ENSG00000121774","KHDRBS1","chr1",32479294,"+",144
"ENSG00000121775","TMEM39B","chr1",32538502,"+",168.16
"ENSG00000025800","KPNA6","chr1",32573643,"+",150.6
"ENSG00000084652","TXLNA","chr1",32645344,"+",123.76
"ENSG00000160050","CCDC28B","chr1",32666201,"+",330.36
"ENSG00000160051","IQCC","chr1",32671235,"+",770.24
"ENSG00000222046","DCDC2B","chr1",32674694,"+",276.48
"ENSG00000084623","EIF3I","chr1",32687184,"+",117.12
"ENSG00000160055","TMEM234","chr1",32687926,"-",135.84
"ENSG00000183615","FAM167B","chr1",32712817,"+",195.04
"ENSG00000182866","LCK","chr1",32716839,"+",374.04
"ENSG00000116478","HDAC1","chr1",32757707,"+",137.96
"ENSG00000175130","MARCKSL1","chr1",32801840,"-",574.96
"ENSG00000225828","FAM229A","chr1",32827844,"-",1492.08
"ENSG00000162526","TSSK3","chr1",32827861,"+",1494.44
"ENSG00000160058","BSDC1","chr1",32860062,"-",143.32
"ENSG00000160062","ZBTB8A","chr1",32930657,"+",338.32
"ENSG00000176261","ZBTB8OS","chr1",33116185,"-",186.2
"ENSG00000162521","RBBP4","chr1",33116748,"+",199.24
"ENSG00000162520","SYNC","chr1",33168361,"-",2759.08
"ENSG00000162522","KIAA1522","chr1",33207511,"+",759.72
"ENSG00000116497","S100PBP","chr1",33283042,"+",203.64
"ENSG00000134684","YARS","chr1",33283633,"-",192
"ENSG00000160097","FNDC5","chr1",33338082,"-",1918.52
"ENSG00000121905","HPCA","chr1",33352097,"+",1366.36
"ENSG00000121900","TMEM54","chr1",33366953,"-",3434.24
"ENSG00000116514","RNF19B","chr1",33430286,"-",362.4
"ENSG00000004455","AK2","chr1",33502512,"-",391.64
"ENSG00000142920","ADC","chr1",33546713,"+",2981.64
"ENSG00000116525","TRIM62","chr1",33647671,"-",466.04
"ENSG00000160094","ZNF362","chr1",33722173,"+",381.28
"ENSG00000184389","A3GALT2","chr1",33786699,"-",351.2
"ENSG00000134686","PHC2","chr1",33896216,"-",1341.28
"ENSG00000121903","ZSCAN20","chr1",33938231,"+",184
"ENSG00000176256","HMGB4","chr1",34326075,"+",176
"ENSG00000121904","CSMD2","chr1",34630875,"-",399.88
"ENSG00000142698","C1orf94","chr1",34632623,"+",422.96
"ENSG00000189280","GJB5","chr1",35220647,"+",340.16
"ENSG00000189433","GJB4","chr1",35225341,"+",216
"ENSG00000188910","GJB3","chr1",35246789,"+",1521.96
"ENSG00000187513","GJA4","chr1",35258170,"+",977.96
"ENSG00000163866","SMIM12","chr1",35325417,"-",210.48
"ENSG00000116544","DLGAP3","chr1",35370984,"-",224.52
"ENSG00000243749","ZMYM6NB","chr1",35450948,"-",330.28
"ENSG00000197056","ZMYM1","chr1",35544971,"+",168
"ENSG00000116560","SFPQ","chr1",35658743,"-",214.12
"ENSG00000146463","ZMYM4","chr1",35734567,"+",154.48
"ENSG00000142687","KIAA0319L","chr1",36023037,"-",160.24
"ENSG00000020129","NCDN","chr1",36023392,"+",131.52
"ENSG00000116819","TFAP2E","chr1",36038970,"+",12767.52
"ENSG00000126067","PSMB2","chr1",36107445,"-",149.68
"ENSG00000142686","C1orf216","chr1",36184790,"-",361.92
"ENSG00000092853","CLSPN","chr1",36235551,"-",145.68
"ENSG00000134698","AGO4","chr1",36273827,"+",297.36
"ENSG00000092847","AGO1","chr1",36335408,"+",181.2
"ENSG00000126070","AGO3","chr1",36396682,"+",104
"ENSG00000092850","TEKT2","chr1",36549675,"+",527.64
"ENSG00000116863","ADPRHL2","chr1",36554452,"+",154.48
"ENSG00000171812","COL8A2","chr1",36565850,"-",188.48
"ENSG00000054116","TRAPPC3","chr1",36621654,"-",1466.92
