ensemblID,OGS,chromosome,TSSLocation,strand,sumMethylationFractionBySite,meanMethylationFractionBySite,meanMethylationFractionByRegion,sumOfScaledMethylatedReadsByRegion
ENSG00000169962,TAS1R3,chr1,1266725,+,2385,88.33333333,0.924464779,3926.794547
ENSG00000107404,DVL1,chr1,1284492,-,506,4.147540984,0.013825105,80.88605257
ENSG00000162576,MXRA8,chr1,1297157,-,869,66.84615385,0.770334076,457.4222475
ENSG00000175756,AURKAIP1,chr1,1310818,-,866,14.43333333,0.156440353,561.8156889
ENSG00000224870,RP4-758J18.2,chr1,1334909,+,41,0.911111111,0.01681338,51.79252171
ENSG00000242485,MRPL20,chr1,1342693,-,778,12.15625,0.163795677,909.778673
ENSG00000235098,ANKRD65,chr1,1356824,-,7091,88.6375,0.876872858,6786.784194
ENSG00000205116,TMEM88B,chr1,1361507,+,1095,15.86956522,0.151254622,616.8848674
ENSG00000215915,ATAD3C,chr1,1385068,+,624,69.33333333,0.848383838,85.1512497
ENSG00000160072,ATAD3B,chr1,1407163,+,52,2.888888889,0.036145511,24.13223533
ENSG00000197785,ATAD3A,chr1,1447522,+,935,37.4,0.45690455,707.9601581
ENSG00000205090,TMEM240,chr1,1475740,-,8457,95.02247191,0.961286565,8362.973977
ENSG00000160075,SSU72,chr1,1510262,-,198,2.329411765,0.015239896,67.42304228
ENSG00000228594,C1orf233,chr1,1535476,-,3419,26.50387597,0.525026358,3033.460165
ENSG00000197530,MIB2,chr1,1551689,+,318,2.178082192,0.019469443,217.077232
ENSG00000189409,MMP23B,chr1,1567559,+,11510,80.48951049,0.867902595,5908.106813
ENSG00000248333,CDK11B,chr1,1655775,-,106,15.14285714,0.012836676,4.79664598
ENSG00000008128,CDK11A,chr1,1655791,-,106,15.14285714,0.012836676,4.781321246
ENSG00000215790,SLC35E2,chr1,1677438,-,0,NA,NA,0
ENSG00000008130,NADK,chr1,1711508,-,210,2.333333333,0.0154679,76.52301145
ENSG00000078369,GNB1,chr1,1822526,-,640,3.764705882,0.048246848,421.8900557
ENSG00000169885,CALML6,chr1,1846265,+,305,30.5,0.55480427,393.5186415
ENSG00000178821,TMEM52,chr1,1850740,-,559,11.64583333,0.127970788,340.0206035
ENSG00000187730,GABRD,chr1,1950767,+,2849,30.6344086,0.532005767,3491.789137
ENSG00000067606,PRKCZ,chr1,1981908,+,8721,61.85106383,0.655202612,4204.213007
ENSG00000162585,C1orf86,chr1,2126214,-,892,17.15384615,0.149989362,337.5218244
ENSG00000157933,SKI,chr1,2160133,+,955,4.11637931,0.050494645,608.5865679
ENSG00000116151,MORN1,chr1,2322993,-,339,4.2375,0.02235515,98.8270967
ENSG00000157916,RER1,chr1,2323213,+,339,4.2375,0.02235515,94.93900022
ENSG00000157911,PEX10,chr1,2344010,-,827,10.08536585,0.223223709,840.0573556
ENSG00000149527,PLCH2,chr1,2407753,+,376,12.12903226,0.091499348,86.68385609
ENSG00000157881,PANK4,chr1,2458035,-,624,14.18181818,0.021973466,43.96261818
ENSG00000197921,HES5,chr1,2461684,-,2241,16.7238806,0.151450811,733.4582544
ENSG00000157873,TNFRSF14,chr1,2487804,+,405,21.31578947,0.156422668,144.3461818
ENSG00000157870,FAM213B,chr1,2517898,+,460,6.052631579,0.023208297,59.80350066
ENSG00000215912,TTC34,chr1,2706230,-,2108,32.43076923,0.485032271,2640.07373
ENSG00000169717,ACTRT2,chr1,2938045,+,143,9.533333333,0.062653563,28.00745115
ENSG00000130762,ARHGEF16,chr1,3371146,+,438,4.977272727,0.031665373,85.77847622
ENSG00000162591,MEGF6,chr1,3528059,-,1897,37.19607843,0.522638205,1953.296018
ENSG00000158109,TPRG1L,chr1,3541555,+,336,2.947368421,0.032960147,162.2422732
ENSG00000116213,WRAP73,chr1,3566671,-,5445,61.17977528,0.648190317,4911.573281
ENSG00000078900,TP73,chr1,3569128,+,5634,32.56647399,0.429887238,5106.591392
ENSG00000162592,CCDC27,chr1,3668964,+,676,84.5,0.711948052,247.2549387
ENSG00000235169,SMIM1,chr1,3689333,+,724,10.80597015,0.154907376,586.1317717
ENSG00000130764,LRRC47,chr1,3713068,-,422,5.552631579,0.023949233,91.75086479
ENSG00000116198,CEP104,chr1,3773797,-,864,17.63265306,0.144268239,409.9912403
ENSG00000169598,DFFB,chr1,3773844,+,864,17.63265306,0.144268239,406.7394615
ENSG00000196581,AJAP1,chr1,4715104,+,14466,67.59813084,0.729527006,10059.99745
ENSG00000069424,KCNAB2,chr1,6052357,+,586,5.801980198,0.069472103,398.6185644
ENSG00000116254,CHD5,chr1,6240194,-,12489,85.54109589,0.937345778,10263.49922
ENSG00000116251,RPL22,chr1,6259679,-,217,7.482758621,0.046040878,70.81132191
ENSG00000158286,RNF207,chr1,6266188,+,6180,65.74468085,0.62340678,2657.261462
ENSG00000116237,ICMT,chr1,6296044,-,302,3.081632653,0.018059701,103.0697871
ENSG00000173673,HES3,chr1,6304251,+,735,5.068965517,0.048495083,293.5952931
ENSG00000158292,GPR153,chr1,6321035,-,1035,9.764150943,0.102709723,781.8209736
ENSG00000097021,ACOT7,chr1,6453826,-,231,2.119266055,0.020541598,110.9800286
ENSG00000069812,HES2,chr1,6479979,-,644,6.708333333,0.036199451,214.8023357
ENSG00000187017,ESPN,chr1,6484847,+,120,8.571428571,0.049252492,34.07811668
ENSG00000215788,TNFRSF25,chr1,6526255,-,263,26.3,0.155045872,19.70425515
ENSG00000171680,PLEKHG5,chr1,6580121,-,200,66.66666667,0.666666667,2.256130969
ENSG00000162408,NOL9,chr1,6614658,-,608,8.685714286,0.122670778,584.527628
ENSG00000173662,TAS1R1,chr1,6615337,+,608,8.685714286,0.122670778,535.98021
ENSG00000204859,ZBTB48,chr1,6640055,+,101,2.463414634,0.043510312,104.083937
ENSG00000162413,KLHL21,chr1,6662929,-,259,3.407894737,0.023440567,47.07896054
ENSG00000116273,PHF13,chr1,6673755,+,773,2.973076923,0.025083349,313.4522041
ENSG00000041988,THAP3,chr1,6684924,+,281,5.734693878,0.09553428,439.1903546
ENSG00000007923,DNAJC11,chr1,6761966,-,344,8.820512821,0.017537355,33.39202938
ENSG00000171735,CAMTA1,chr1,6845383,+,223,1.420382166,0.0156105,101.6356829
ENSG00000049245,VAMP3,chr1,7831328,+,204,4,0.022255927,66.03153137
ENSG00000049246,PER3,chr1,7844379,+,2127,19.33636364,0.182168576,935.8369515
ENSG00000049247,UTS2,chr1,7973294,-,19,4.75,0.04703125,9.084512201
ENSG00000049249,TNFRSF9,chr1,8003225,-,0,NA,NA,0
ENSG00000116288,PARK7,chr1,8021713,+,110,1.666666667,0.02060686,72.41347748
ENSG00000116285,ERRFI1,chr1,8086393,-,826,7.375,0.084834299,393.0771876
ENSG00000162426,SLC45A1,chr1,8384389,+,419,19.04545455,0.143893443,201.0225223
ENSG00000142599,RERE,chr1,8877699,-,126,1.75,0.032259025,94.43110768
ENSG00000074800,ENO1,chr1,8939151,-,135,1.753246753,0.025712689,97.9849526
ENSG00000131686,CA6,chr1,9005892,+,0,NA,NA,0
ENSG00000197241,SLC2A7,chr1,9086404,-,0,0,0,0
ENSG00000142583,SLC2A5,chr1,9129887,-,398,39.8,0.416515464,574.5840029
ENSG00000180758,GPR157,chr1,9189229,-,450,6.923076923,0.021399561,81.40819438
ENSG00000049239,H6PD,chr1,9294862,+,815,14.55357143,0.391683354,809.7116896
ENSG00000171621,SPSB1,chr1,9352940,+,768,4.770186335,0.040343733,249.2529987
ENSG00000171612,SLC25A33,chr1,9599527,+,250,6.25,0.021394865,33.14158059
ENSG00000188807,TMEM201,chr1,9648931,+,538,5.489795918,0.023745704,198.4698144
ENSG00000171608,PIK3CD,chr1,9711789,+,778,11.78787879,0.106552467,581.170318
ENSG00000179840,C1orf200,chr1,9714644,-,609,38.0625,0.49971935,470.8569558
ENSG00000171603,CLSTN1,chr1,9884550,-,255,1.961538462,0.023537999,183.7500292
ENSG00000178585,CTNNBIP1,chr1,9970316,-,395,6.370967742,0.024580681,96.2840844
ENSG00000162441,LZIC,chr1,10003427,-,48,2.181818182,0.028768054,34.60943053
ENSG00000173614,NMNAT1,chr1,10003485,+,48,2.181818182,0.028768054,34.60596997
ENSG00000054523,KIF1B,chr1,10270763,+,282,2.452173913,0.023704426,126.8039841
ENSG00000142657,PGD,chr1,10459084,+,124,2.431372549,0.011899563,5.924312184
ENSG00000175279,APITD1,chr1,10490158,+,7,1.166666667,0.013024691,7.888695147
ENSG00000251503,APITD1-CORT,chr1,10490803,+,7,1.166666667,0.013024691,6.933957656
ENSG00000241563,CORT,chr1,10509775,+,1156,88.92307692,0.858385167,859.0028977
ENSG00000160049,DFFA,chr1,10532613,-,127,4.703703704,0.02926045,9.226446369
ENSG00000142655,PEX14,chr1,10535002,+,56,3.5,0.055925926,6.241504926
ENSG00000130940,CASZ1,chr1,10856733,-,1909,17.51376147,0.318074228,1939.795617
ENSG00000175262,C1orf127,chr1,11042094,-,12,2,0.029726444,12.91941822
ENSG00000120948,TARDBP,chr1,11072678,+,275,5.288461538,0.022526959,69.52817273
ENSG00000009724,MASP2,chr1,11107296,-,531,44.25,0.733938706,690.8297416
ENSG00000116649,SRM,chr1,11120091,-,234,2.752941176,0.016612173,68.31402305
ENSG00000171824,EXOSC10,chr1,11159938,-,150,6.25,0.019105058,25.59813461
ENSG00000171819,ANGPTL7,chr1,11249345,+,0,NA,NA,0
ENSG00000198793,MTOR,chr1,11322608,-,63,1.8,0.022147043,43.68230433
ENSG00000120942,UBIAD1,chr1,11333254,+,125,4.166666667,0.013877863,9.415503398
ENSG00000204624,PTCHD2,chr1,11539294,+,809,7.931372549,0.141134189,807.8379029
ENSG00000132879,FBXO44,chr1,11714431,+,620,9.841269841,0.091476323,204.017539
ENSG00000116661,FBXO2,chr1,11714888,-,620,9.841269841,0.091476323,215.0360522
ENSG00000116663,FBXO6,chr1,11724149,+,167,3.036363636,0.035884938,98.5168361
ENSG00000116670,MAD2L2,chr1,11751678,-,6849,81.53571429,0.888651523,5423.203043
ENSG00000162490,DRAXIN,chr1,11751780,+,6849,81.53571429,0.888651523,5417.53925
ENSG00000177674,AGTRAP,chr1,11796141,+,157,17.44444444,0.237619048,5.829677779
ENSG00000011021,CLCN6,chr1,11866152,+,164,3.346938776,0.023878039,65.96643101
ENSG00000177000,MTHFR,chr1,11866160,-,164,3.346938776,0.023878039,66.00869776
ENSG00000175206,NPPA,chr1,11907840,-,0,NA,NA,0
ENSG00000120937,NPPB,chr1,11918992,-,283,8.085714286,0.066964742,139.7567473
ENSG00000116685,KIAA2013,chr1,11986485,-,40,1.176470588,0.018665169,42.48015968
ENSG00000083444,PLOD1,chr1,11994723,+,125,3.571428571,0.02417004,18.40946127
ENSG00000116688,MFN2,chr1,12040237,+,211,4.688888889,0.015987461,26.40246985
ENSG00000116691,MIIP,chr1,12079298,+,116,2.697674419,0.01513834,17.13625064
ENSG00000120949,TNFRSF8,chr1,12123433,+,823,26.5483871,0.199461078,172.6990988
ENSG00000028137,TNFRSF1B,chr1,12227059,+,164,3.565217391,0.02436803,43.33053737
ENSG00000204518,AADACL4,chr1,12704565,+,0,0,0,0
ENSG00000188984,AADACL3,chr1,12776117,+,0,NA,NA,0
ENSG00000116726,PRAMEF12,chr1,12834983,+,0,0,0,0
ENSG00000116721,PRAMEF1,chr1,12851545,+,0,NA,NA,0
ENSG00000179172,HNRNPCL1,chr1,12908578,-,0,NA,NA,0
ENSG00000120952,PRAMEF2,chr1,12916940,+,0,NA,NA,0
ENSG00000243073,PRAMEF4,chr1,12946025,-,0,NA,NA,0
ENSG00000187545,PRAMEF10,chr1,12958094,-,0,NA,NA,0
ENSG00000232423,PRAMEF6,chr1,13007406,-,0,NA,NA,0
ENSG00000182330,PRAMEF8,chr1,13390765,-,0,NA,NA,0
ENSG00000204501,PRAMEF9,chr1,13421175,+,0,NA,NA,0
ENSG00000277853,PRAMEF19,chr1,13698405,-,0,NA,NA,0
ENSG00000204479,PRAMEF17,chr1,13716087,+,0,NA,NA,0
ENSG00000204478,PRAMEF20,chr1,13736906,+,0,NA,NA,0
ENSG00000162494,LRRC38,chr1,13840242,-,286,5.107142857,0.050944733,110.3341571
ENSG00000162493,PDPN,chr1,13910251,+,365,7.448979592,0.095320856,239.3647403
ENSG00000116731,PRDM2,chr1,14026734,+,2834,44.28125,0.310301532,661.1925153
ENSG00000189337,KAZN,chr1,14925212,+,1362,14.96703297,0.182228977,397.4379324
ENSG00000171729,TMEM51,chr1,15479027,+,295,2.86407767,0.04345775,196.4334567
ENSG00000142621,FHAD1,chr1,15573767,+,1002,62.625,0.563178082,216.3205952
ENSG00000142634,EFHD2,chr1,15736390,+,712,9.012658228,0.044501197,139.0215418
ENSG00000162438,CTRC,chr1,15764937,+,200,100,1,2.705393642
ENSG00000142615,CELA2A,chr1,15783222,+,0,NA,NA,0
ENSG00000215704,CELA2B,chr1,15802595,+,0,NA,NA,0
ENSG00000132906,CASP9,chr1,15851285,-,148,4,0.02049236,26.90324399
ENSG00000116138,DNAJC16,chr1,15853351,+,151,4.71875,0.026602925,27.27176515
ENSG00000116771,AGMAT,chr1,15911605,-,3815,79.47916667,0.79404837,4043.696474
ENSG00000197312,DDI2,chr1,15943952,+,105,2.916666667,0.028391304,13.42454233
ENSG00000215695,RSC1A1,chr1,15986363,+,0,NA,NA,0
ENSG00000116786,PLEKHM2,chr1,16010826,+,592,7.308641975,0.056079266,195.6344496
ENSG00000162461,SLC25A34,chr1,16062808,+,293,41.85714286,0.611388889,26.96019825
ENSG00000162460,TMEM82,chr1,16068986,+,972,42.26086957,0.608912634,1110.300162
ENSG00000162458,FBLIM1,chr1,16083153,+,711,27.34615385,0.439218182,281.4649362
ENSG00000065526,SPEN,chr1,16174358,+,85,0.894736842,0.011830748,45.29582602
ENSG00000116809,ZBTB17,chr1,16302627,-,112,1.964912281,0.016806967,48.06992842
ENSG00000183888,C1orf64,chr1,16330730,+,0,0,0,0
ENSG00000173641,HSPB7,chr1,16346089,-,346,28.83333333,0.228019324,66.42639309
ENSG00000186510,CLCNKA,chr1,16348485,+,0,NA,NA,0
ENSG00000184908,CLCNKB,chr1,16355620,+,566,70.75,0.680478469,191.4181708
ENSG00000185519,FAM131C,chr1,16400127,-,157,2.907407407,0.042767733,100.7949043
ENSG00000142627,EPHA2,chr1,16482582,-,3991,81.44897959,0.911385293,3880.36891
ENSG00000142632,ARHGEF19,chr1,16539104,-,0,NA,NA,0
ENSG00000132881,RSG1,chr1,16563659,-,170,3.4,0.014100072,40.63901075
ENSG00000037637,FBXO42,chr1,16678948,-,19,0.863636364,0.011293103,3.962205943
ENSG00000055070,SZRD1,chr1,16693524,+,16,0.888888889,0.036738609,17.46469429
ENSG00000187144,SPATA21,chr1,16763919,-,0,NA,NA,0
ENSG00000157191,NECAP2,chr1,16767166,+,91,9.1,0.063744292,14.45625688
ENSG00000219481,NBPF1,chr1,16940100,-,7,1,0.022731183,11.05749282
ENSG00000058453,CROCC,chr1,17248444,+,0,NA,NA,0
ENSG00000117122,MFAP2,chr1,17308081,-,2032,42.33333333,0.460315315,1487.863687
ENSG00000159363,ATP13A2,chr1,17338423,-,108,6.352941176,0.279612403,43.15316879
ENSG00000117118,SDHB,chr1,17380665,-,38,1.52,0.018371385,12.38034258
ENSG00000117115,PADI2,chr1,17445948,-,236,11.8,0.174,132.416512
ENSG00000142623,PADI1,chr1,17531620,+,0,NA,NA,0
ENSG00000142619,PADI3,chr1,17575592,+,0,NA,NA,0
ENSG00000159339,PADI4,chr1,17634689,+,100,100,1,1.344739078
ENSG00000179051,RCC2,chr1,17766250,-,206,2.263736264,0.024643075,51.16334261
ENSG00000074964,ARHGEF10L,chr1,17866329,+,2272,19.09243697,0.209120693,1146.230971
ENSG00000117148,ACTL8,chr1,18081807,+,0,NA,NA,0
ENSG00000117154,IGSF21,chr1,18434239,+,1811,32.92727273,0.437864903,956.3939445
ENSG00000179023,KLHDC7A,chr1,18807423,+,1329,28.27659574,0.273831696,895.4794748
ENSG00000009709,PAX7,chr1,18957499,+,1999,25.62820513,0.371175889,1949.984024
ENSG00000179002,TAS1R2,chr1,19186155,-,20,3.333333333,0.052748538,24.99583491
ENSG00000159423,ALDH4A1,chr1,19229293,-,189,3.25862069,0.034404659,92.87887152
ENSG00000169991,IFFO2,chr1,19282826,-,653,4.566433566,0.048557282,354.9190862
ENSG00000127481,UBR4,chr1,19536746,-,52,1.209302326,0.016095301,25.12937028
ENSG00000127463,EMC1,chr1,19578053,-,28,4,0.037948718,3.306396212
ENSG00000053372,MRTO4,chr1,19578074,+,28,4,0.037948718,3.292538469
ENSG00000211454,AKR7L,chr1,19600568,-,0,NA,NA,0
ENSG00000162482,AKR7A3,chr1,19615280,-,1557,86.5,0.835734597,201.7238834
ENSG00000053371,AKR7A2,chr1,19638640,-,313,4.471428571,0.020527463,50.68448596
ENSG00000040487,PQLC2,chr1,19638739,+,313,4.471428571,0.020527463,50.23422412
ENSG00000077549,CAPZB,chr1,19812066,-,115,2.5,0.021795593,50.05300856
ENSG00000173436,MINOS1,chr1,19923470,+,273,6.825,0.025804416,25.76114543
ENSG00000158747,NBL1,chr1,19969722,+,1983,18.19266055,0.361852825,2546.262483
ENSG00000158748,HTR6,chr1,19991779,+,1011,11.62068966,0.13636478,712.2381812
ENSG00000162542,TMCO4,chr1,20126758,-,694,14.16326531,0.177131547,323.2840323
ENSG00000178828,RNF186,chr1,20141771,-,162,10.125,0.138955224,95.60024878
ENSG00000169914,OTUD3,chr1,20208887,+,104,2.260869565,0.017016439,51.13375446
ENSG00000188784,PLA2G2E,chr1,20250110,-,0,0,0,0
ENSG00000188257,PLA2G2A,chr1,20306932,-,0,NA,NA,0
ENSG00000127472,PLA2G5,chr1,20396700,+,39,3.545454545,0.046374502,24.00274434
ENSG00000117215,PLA2G2D,chr1,20446059,-,0,NA,NA,0
ENSG00000158786,PLA2G2F,chr1,20465822,+,0,NA,NA,0
ENSG00000187980,PLA2G2C,chr1,20501687,-,0,NA,NA,0
ENSG00000162543,UBXN10,chr1,20512577,+,229,9.541666667,0.031099476,6.169980964
ENSG00000158816,VWA5B1,chr1,20617411,+,13,2.6,0.032857143,8.904006449
ENSG00000162545,CAMK2N1,chr1,20812728,-,1307,12.81372549,0.15252322,826.1642194
ENSG00000090432,MUL1,chr1,20834674,-,182,8.666666667,0.035735736,12.15605902
ENSG00000183114,FAM43B,chr1,20878931,+,2570,24.71153846,0.366248025,2610.395182
ENSG00000158825,CDA,chr1,20915443,+,150,37.5,0.333333333,2.060922423
ENSG00000158828,PINK1,chr1,20959947,+,91,1.338235294,0.018220141,33.09517831
ENSG00000244038,DDOST,chr1,20988037,-,235,5.595238095,0.02311879,55.44903224
ENSG00000117245,KIF17,chr1,21044317,-,809,13.71186441,0.246864618,660.5535406
ENSG00000189410,SH2D5,chr1,21059133,-,6055,80.73333333,0.769248533,4503.738578
ENSG00000127483,HP1BP3,chr1,21113799,-,208,2.260869565,0.016119097,50.46800479
ENSG00000075151,EIF4G3,chr1,21503381,-,791,9.530120482,0.094635628,352.1608412
ENSG00000117298,ECE1,chr1,21672034,-,274,3.301204819,0.04042381,186.0287697
ENSG00000142794,NBPF3,chr1,21766582,+,69,11.5,0.17025974,29.65816036
ENSG00000162551,ALPL,chr1,21835857,+,859,19.52272727,0.214837545,512.4958831
ENSG00000076864,RAP1GAP,chr1,21995856,-,958,20.38297872,0.127804979,360.3727119
ENSG00000090686,USP48,chr1,22109688,-,15,0.714285714,0.02377709,9.740261738
ENSG00000187942,LDLRAD2,chr1,22138757,+,0,0,0,0
ENSG00000142798,HSPG2,chr1,22263750,-,248,3.542857143,0.020585516,41.48982985
ENSG00000219073,CELA3B,chr1,22303417,+,0,NA,NA,0
ENSG00000142789,CELA3A,chr1,22328148,+,0,NA,NA,0
ENSG00000070831,CDC42,chr1,22379119,+,77,1.925,0.022482561,58.9897693
ENSG00000162552,WNT4,chr1,22470385,-,1628,9.866666667,0.230447043,2880.390168
ENSG00000184677,ZBTB40,chr1,22778343,+,275,14.47368421,0.056571429,23.54128655
ENSG00000070886,EPHA8,chr1,22890003,+,1689,20.10714286,0.293976044,1054.103953
ENSG00000173372,C1QA,chr1,22963117,+,0,0,0,0
ENSG00000159189,C1QC,chr1,22970117,+,0,0,0,0
ENSG00000173369,C1QB,chr1,22979681,+,0,NA,NA,0
ENSG00000133216,EPHB2,chr1,23037330,+,2139,18.76315789,0.232433121,1040.557898
ENSG00000227868,C1orf234,chr1,23342343,-,0,NA,NA,0
ENSG00000004487,KDM1A,chr1,23345940,+,43,0.826923077,0.02013544,19.04841303
ENSG00000169641,LUZP1,chr1,23504301,-,62,1.823529412,0.022445339,39.63735081
ENSG00000179546,HTR1D,chr1,23521222,-,133,33.25,0.3244,144.83601
ENSG00000125944,HNRNPR,chr1,23670853,-,170,1.734693878,0.021215442,90.71432762
ENSG00000249087,C1orf213,chr1,23695463,+,121,4.172413793,0.019710983,15.40813286
ENSG00000125945,ZNF436,chr1,23696357,-,121,4.481481481,0.019768116,18.42476121
ENSG00000204219,TCEA3,chr1,23751261,-,4256,83.45098039,0.896739606,2780.112858
ENSG00000088280,ASAP3,chr1,23810750,-,157,2.573770492,0.017104236,58.79139684
ENSG00000007968,E2F2,chr1,23857712,-,130,1.857142857,0.020176969,86.54638187
ENSG00000117318,ID3,chr1,23886285,-,40,1.111111111,0.014693701,36.75080208
ENSG00000142676,RPL11,chr1,24018268,+,18,2,0.030677966,15.34881669
ENSG00000011007,TCEB3,chr1,24069855,+,125,1.838235294,0.01631038,50.43707816
ENSG00000057757,PITHD1,chr1,24104875,+,0,NA,NA,0
ENSG00000011009,LYPLA2,chr1,24117645,+,4,0.4,0.00341637,1.97788211
ENSG00000117308,GALE,chr1,24127294,-,403,12.59375,0.427992767,272.3177952
ENSG00000117305,HMGCL,chr1,24151949,-,17,1.7,0.028333333,2.165713369
ENSG00000179163,FUCA1,chr1,24194859,-,299,7.475,0.031330256,81.34931039
ENSG00000188822,CNR2,chr1,24239817,-,0,NA,NA,0
ENSG00000189266,PNRC2,chr1,24286300,+,141,1.88,0.023340238,94.58540424
ENSG00000188529,SRSF10,chr1,24306953,-,62,4.769230769,0.047647059,39.81939925
ENSG00000142661,MYOM3,chr1,24421493,-,0,NA,NA,0
ENSG00000142677,IL22RA1,chr1,24469775,-,0,0,0,0
ENSG00000185436,IFNLR1,chr1,24513765,-,1182,25.14893617,0.348249694,616.321391
ENSG00000158055,GRHL3,chr1,24645811,+,123,15.375,0.15745098,9.763763337
ENSG00000001460,STPG1,chr1,24741587,-,59,3.470588235,0.054814815,29.79884193
ENSG00000001461,NIPAL3,chr1,24742244,+,32,4,0.060824742,24.91969221
ENSG00000117602,RCAN3,chr1,24828840,+,192,2,0.019976162,75.53863055
ENSG00000184454,NCMAP,chr1,24882566,+,369,9.972972973,0.083015428,121.1516184
ENSG00000133226,SRRM1,chr1,24969593,+,191,2.546666667,0.020536636,67.61248594
ENSG00000169504,CLIC4,chr1,25071759,+,92,1.226666667,0.014564475,71.97975338
ENSG00000020633,RUNX3,chr1,25291501,-,0,NA,NA,0
ENSG00000117614,SYF2,chr1,25559013,-,35,1.944444444,0.020406091,12.21402624
ENSG00000117616,C1orf63,chr1,25573985,-,154,1.974358974,0.019273758,78.8762909
ENSG00000187010,RHD,chr1,25598980,+,0,NA,NA,0
ENSG00000183726,TMEM50A,chr1,25664788,+,56,1.365853659,0.018273465,32.94143191
ENSG00000188672,RHCE,chr1,25756683,-,145,1.330275229,0.014326211,74.97652974
ENSG00000204178,TMEM57,chr1,25757387,+,145,1.330275229,0.014326211,73.651085
ENSG00000157978,LDLRAP1,chr1,25870075,+,321,5.095238095,0.021695435,59.23994993
ENSG00000117643,MAN1C1,chr1,25943958,+,1292,10.25396825,0.045460498,237.16802
ENSG00000162430,SEPN1,chr1,26126666,+,66,1.466666667,0.017867299,50.59596794
ENSG00000117640,MTFR1L,chr1,26146396,+,180,3.214285714,0.018566524,45.94206502
ENSG00000228172,AL020996.1,chr1,26150097,-,0,NA,NA,0
ENSG00000127423,AUNIP,chr1,26185848,-,127,4.535714286,0.025967541,24.80808357
ENSG00000182749,PAQR7,chr1,26197744,-,0,NA,NA,0
ENSG00000117632,STMN1,chr1,26233368,-,108,1.588235294,0.025876873,79.47198251
ENSG00000158006,PAFAH2,chr1,26324648,-,100,50,0.958333333,32.76281607
ENSG00000158008,EXTL1,chr1,26348270,+,453,75.5,0.806830986,153.6720515
ENSG00000158014,SLC30A2,chr1,26372604,-,5796,77.28,0.771270417,3539.560287
ENSG00000158022,TRIM63,chr1,26394125,-,383,63.83333333,0.532,8.911549381
ENSG00000175087,PDIK1L,chr1,26437655,+,257,3.893939394,0.017030114,36.53164306
ENSG00000197245,FAM110D,chr1,26485510,+,461,92.2,0.938,65.58823934
ENSG00000142684,ZNF593,chr1,26496387,+,110,7.857142857,0.018518519,4.188657732
ENSG00000142675,CNKSR1,chr1,26503980,+,1561,91.82352941,0.814724138,716.3637147
ENSG00000188782,CATSPER4,chr1,26517118,+,300,75,0.75,4.057939126
ENSG00000130695,CEP85,chr1,26560692,+,91,3.033333333,0.014348024,33.05073126
ENSG00000142669,SH3BGRL3,chr1,26606212,+,32,1.230769231,0.01097445,20.37249658
ENSG00000169442,CD52,chr1,26644410,+,100,50,0.5,2.497642234
