"gene.GeneID","Ensembl.Gene.ID","blah","gene.Chr","gene.Start","gene.End","gene.Strand","gene.Length","sample.group","sample.lib.size","sample.norm.factors","counts","rpkm"
35,"ENSG00000122971",27,177,2839,2835,98,1917,1,19420249,1,214,5.748266128
36,"ENSG00000196177",28,81,3227,3225,99,5941,1,19420249,1,221,1.915481348
36,"LRG_451",28,81,3227,3225,99,5941,1,19420249,1,221,1.915481348
37,"ENSG00000072778",29,429,21724,21721,108,2288,1,19420249,1,4180,94.07310261
38,"ENSG00000075239",30,131,1273,1272,100,2138,1,19420249,1,3100,74.66192773
39,"ENSG00000120437",31,888,6908,6907,97,1551,1,19420249,1,3495,116.0327508
40,"ENSG00000108684",32,420,12692,12690,11,4272,1,19420249,1,1,0.012053522
41,"ENSG00000110881",33,179,17731,17728,100,3916,1,19420249,1,25,0.328732416
43,"ENSG00000087085",34,939,107,105,5,2957,1,19420249,1,108,1.880691826
47,"ENSG00000131473",35,438,14845,14843,29,4353,1,19420249,1,10637,125.8275377
48,"ENSG00000122729",36,1056,13000,12999,109,3550,1,19420249,1,1036,15.02714954
49,"ENSG00000100312",37,700,17904,17901,93,1370,1,19420249,1,0,0
50,"ENSG00000100412",38,713,15253,15250,106,2741,1,19420249,1,3774,70.89866642
51,"ENSG00000161533",39,424,22248,22247,15,7920,1,19420249,1,506,3.289807916
52,"ENSG00000143727",40,556,11458,11458,94,1883,1,19420249,1,4776,130.6048197
53,"ENSG00000134575",41,129,16812,16809,10,2312,1,19420249,1,358,7.973342188
54,"ENSG00000102575",42,509,2332,2326,7,1810,1,19420249,1,34,0.967265167
55,"ENSG00000014257",43,741,4022,4019,99,3818,1,19420249,1,18,0.242762604
56,"ENSG00000134940",44,123,3297,3294,4,1324,1,19420249,1,5,0.194458632
58,"ENSG00000143632",45,7,10234,10231,7,1493,1,19420249,1,17,0.586319475
59,"ENSG00000107796",46,80,24544,24540,10,1851,1,19420249,1,9,0.250369428
60,"ENSG00000075624",47,940,18891,18891,6,1812,1,19420249,1,38975,1107.57498
60,"LRG_132",47,940,18891,18891,6,1812,1,19420249,1,38975,1107.57498
60,"ENSG00000184009",47,940,18891,18891,6,1812,1,19420249,1,38975,1107.57498
70,"LRG_388",48,318,13642,13639,7,3693,1,19420249,1,5,0.069716552
70,"ENSG00000159251",48,318,13642,13639,7,3693,1,19420249,1,5,0.069716552
71,"ENSG00000184009",49,415,23252,23249,6,1919,1,19420249,1,39382,1056.739641
72,"ENSG00000163017",50,559,22296,22293,97,1331,1,19420249,1,0,0
81,"ENSG00000130402",51,523,14606,14599,109,3893,1,19420249,1,21021,278.0444141
86,"ENSG00000136518",52,744,7983,7982,102,1906,1,19420249,1,3278,88.55870536
87,"ENSG00000072110",53,287,21356,21354,22,3791,1,19420249,1,5336,72.47817387
88,"ENSG00000077522",54,21,10596,10591,109,4528,1,19420249,1,69,0.784671499
89,"ENSG00000248746",55,140,20825,20820,109,2857,1,19420249,1,13,0.234303253
90,"ENSG00000115170",56,562,6781,6776,12,3112,1,19420249,1,373,6.171837026
91,"ENSG00000135503",57,178,18133,18131,99,4807,1,19420249,1,264,2.827971385
92,"ENSG00000121989",58,561,5689,5686,99,5244,1,19420249,1,60,0.589160705
93,"ENSG00000114739",59,741,14472,14469,99,11373,1,19420249,1,395,1.788410712
94,"ENSG00000139567",60,177,18124,18122,98,4404,1,19420249,1,23,0.268921628
95,"ENSG00000243989",61,745,18064,18062,103,1415,1,19420249,1,1350,49.12725909
97,"ENSG00000119640",62,269,22638,22637,4,690,1,19420249,1,122,9.104496765
98,"ENSG00000170634",63,554,18581,18578,92,1224,1,19420249,1,25,1.051728873
100,"LRG_16",64,628,15643,15642,12,1532,1,19420249,1,222,7.461728024
100,"ENSG00000196839",64,628,15643,15642,12,1532,1,19420249,1,222,7.461728024
101,"ENSG00000151651",65,93,4395,4392,23,3301,1,19420249,1,115,1.793897076
102,"ENSG00000137845",66,327,19676,19675,16,3927,1,19420249,1,1768,23.18283613
103,"ENSG00000160710",67,17,6410,6407,17,7093,1,19420249,1,4024,29.21280221
104,"ENSG00000197381",68,669,16561,16557,101,7145,1,19420249,1,228,1.643152303
105,"ENSG00000185736",69,80,3006,3016,10,3654,1,19420249,1,0,0
107,"ENSG00000164742",70,954,16314,16310,108,12499,1,19420249,1,0,0
108,"ENSG00000078295",71,856,22256,22254,113,6553,1,19420249,1,2,0.015715747
109,"ENSG00000138031",72,571,11103,11100,21,4397,1,19420249,1,815,9.544349829
111,"ENSG00000173175",73,751,3026,3023,21,3842,1,19420249,1,0,0
112,"ENSG00000174233",74,189,17347,17346,22,6698,1,19420249,1,36,0.276759517
113,"ENSG00000121281",75,386,17685,17681,113,6138,1,19420249,1,2496,20.93933586
114,"ENSG00000155897",76,1001,3991,3988,18,4101,1,19420249,1,0,0
115,"ENSG00000162104",77,372,14863,14872,11,7725,1,19420249,1,10,0.066657146
116,"ENSG00000141433",78,468,24512,24513,93,3277,1,19420249,1,2,0.031426699
117,"ENSG00000078549",79,950,12635,12631,104,1643,1,19420249,1,1,0.031340624
118,"ENSG00000087274",80,801,11962,11961,104,4068,1,19420249,1,6362,80.53004217
119,"ENSG00000075340",81,568,21655,21653,18,5943,1,19420249,1,1384,11.99155672
120,"ENSG00000148700",82,86,1737,1735,104,4628,1,19420249,1,2203,24.51130042
123,"ENSG00000147872",83,1043,8563,8561,8,1980,1,19420249,1,1564,40.67398878
124,"ENSG00000187758",84,794,54,54,9,1456,1,19420249,1,0,0
125,"ENSG00000196616",85,794,62,62,9,2682,1,19420249,1,0,0
126,"ENSG00000248144",86,794,64,64,9,1473,1,19420249,1,0,0
127,"ENSG00000198099",87,794,15,13,9,1980,1,19420249,1,0,0
128,"ENSG00000197894",88,794,25695,25694,9,2644,1,19420249,1,2965,57.74421117
130,"ENSG00000172955",89,794,34,34,9,3006,1,19420249,1,5,0.085649777
131,"ENSG00000196344",90,795,81,82,10,2397,1,19420249,1,0,0
132,"ENSG00000156110",91,82,22729,22726,100,2219,1,19420249,1,2125,49.31134384
133,"ENSG00000148926",92,123,663,661,92,1449,1,19420249,1,2,0.071073355
134,"ENSG00000163485",93,4,9084,9081,92,2919,1,19420249,1,0,0
135,"ENSG00000258555",94,698,11033,11031,91,2566,1,19420249,1,19,0.381278358
135,"ENSG00000128271",94,698,11033,11031,91,2566,1,19420249,1,19,0.381278358
136,"ENSG00000170425",95,411,6765,6760,90,1885,1,19420249,1,143,3.906338635
140,"ENSG00000121933",96,8,1793,1791,8,3408,1,19420249,1,0,0
140,"LRG_424",96,8,1793,1791,8,3408,1,19420249,1,0,0
141,"ENSG00000144843",97,735,2620,2615,93,3439,1,19420249,1,72,1.07806644
142,"ENSG00000143799",98,23,10070,10067,23,3985,1,19420249,1,12871,166.3141385
143,"ENSG00000102699",99,254,11095,11092,34,5469,1,19420249,1,2223,20.93036227
146,"ENSG00000171873",100,618,15292,15293,2,2666,1,19420249,1,7,0.135201995
147,"ENSG00000170214",101,833,6833,6829,90,2254,1,19420249,1,0,0
148,"ENSG00000120907",102,988,11488,11485,5,3560,1,19420249,1,0,0
150,"ENSG00000150594",103,71,1882,1882,89,3876,1,19420249,1,0,0
151,"ENSG00000274286",104,551,25267,25265,1,3266,1,19420249,1,0,0
152,"ENSG00000184160",105,786,14247,14247,89,1958,1,19420249,1,1,0.026298593
153,"ENSG00000043591",106,71,2228,2227,89,2862,1,19420249,1,1,0.01799184
154,"ENSG00000169252",107,832,5667,5661,89,2042,1,19420249,1,0,0
155,"ENSG00000188778",108,985,14275,14275,2,2647,1,19420249,1,0,0
156,"ENSG00000173020",109,140,20964,20961,109,3444,1,19420249,1,3414,51.04410343
157,"ENSG00000100077",110,716,11338,11337,109,9056,1,19420249,1,760,4.321379272
158,"ENSG00000239900",111,708,14997,14994,101,1565,1,19420249,1,4774,157.0772462
159,"ENSG00000035687",112,13,10895,10893,13,2757,1,19420249,1,1396,26.07317131
160,"ENSG00000196961",113,526,17672,17670,112,3499,1,19420249,1,5908,86.94442711
161,"ENSG00000183020",114,141,24746,24746,110,4616,1,19420249,1,1691,18.86353201
162,"ENSG00000100280",115,718,12228,12227,23,4178,1,19420249,1,3437,42.36003424
163,"ENSG00000006125",116,431,13399,13396,110,5763,1,19420249,1,11455,102.3509033
164,"ENSG00000166747",117,385,21831,21829,24,6850,1,19420249,1,2102,15.8011009
165,"ENSG00000106624",118,955,15915,15914,109,4081,1,19420249,1,25,0.315441348
166,"ENSG00000104964",119,510,12450,12455,8,1943,1,19420249,1,13747,364.3177558
167,"ENSG00000124812",120,887,17537,17535,8,1888,1,19420249,1,0,0
172,"ENSG00000223959",121,375,24441,24436,102,3903,1,19420249,1,574,7.57283592
173,"ENSG00000079557",122,800,22349,22345,103,1997,1,19420249,1,3,0.077355001
174,"ENSG00000081051",123,800,22336,22333,103,2032,1,19420249,1,100,2.534086892
175,"ENSG00000038002",124,794,7922,7921,9,2103,1,19420249,1,396,9.696190049
176,"ENSG00000157766",125,329,24299,24297,106,8840,1,19420249,1,0,0
177,"ENSG00000204305",126,890,12958,12955,11,1442,1,19420249,1,208,7.427510606
177,"ENSG00000230514",126,890,12958,12955,11,1442,1,19420249,1,208,7.427510606
177,"ENSG00000229058",126,890,12958,12955,11,1442,1,19420249,1,208,7.427510606
177,"ENSG00000229058",126,890,12958,12955,11,1442,1,19420249,1,208,7.427510606
177,"ENSG00000237405",126,890,12958,12955,11,1442,1,19420249,1,208,7.427510606
177,"ENSG00000234729",126,890,12958,12955,11,1442,1,19420249,1,208,7.427510606
177,"ENSG00000231268",126,890,12958,12955,11,1442,1,19420249,1,208,7.427510606
177,"ENSG00000206320",126,890,12958,12955,11,1442,1,19420249,1,208,7.427510606
178,"ENSG00000162688",127,36,75,75,124,8217,1,19420249,1,1162,7.281788272
181,"ENSG00000159723",128,365,21061,21060,4,764,1,19420249,1,0,0
182,"ENSG00000101384",129,642,1024,1024,26,5987,1,19420249,1,24,0.206417821
183,"ENSG00000135744",130,5,10328,10325,5,2584,1,19420249,1,0,0
185,"ENSG00000144891",131,735,5674,5670,93,2571,1,19420249,1,0,0
186,"ENSG00000180772",132,1093,2192,2189,91,2899,1,19420249,1,0,0
187,"ENSG00000134817",133,120,19246,19247,1,3877,1,19420249,1,65,0.863302029
189,"ENSG00000172482",134,561,10788,10784,99,1598,1,19420249,1,0,0
190,"ENSG00000169297",135,1092,12390,12389,2,1585,1,19420249,1,0,0
191,"ENSG00000101444",136,627,13133,13133,11,2538,1,19420249,1,6543,132.7487709
196,"ENSG00000106546",137,945,7630,7629,99,6247,1,19420249,1,0,0
197,"ENSG00000145192",138,737,8364,8363,95,1573,1,19420249,1,0,0
199,"ENSG00000235588",139,882,12775,12773,91,1552,1,19420249,1,100,3.317825106
199,"ENSG00000237727",139,882,12775,12773,91,1552,1,19420249,1,100,3.317825106
199,"ENSG00000206428",139,882,12775,12773,91,1552,1,19420249,1,100,3.317825106
199,"ENSG00000234836",139,882,12775,12773,91,1552,1,19420249,1,100,3.317825106
199,"ENSG00000235985",139,882,12775,12773,91,1552,1,19420249,1,100,3.317825106
199,"ENSG00000204472",139,882,12775,12773,91,1552,1,19420249,1,100,3.317825106
202,"ENSG00000112297",140,899,1155,1154,108,7553,1,19420249,1,25,0.170437726
203,"ENSG00000106992",141,1042,3841,3836,7,2266,1,19420249,1,1000,22.7240272
204,"LRG_133",142,7,13304,13304,7,3831,1,19420249,1,4077,54.79914285
204,"ENSG00000185839",142,7,13304,13304,7,3831,1,19420249,1,4077,54.79914285
204,"ENSG00000004455",142,7,13304,13304,7,3831,1,19420249,1,4077,54.79914285
205,"ENSG00000162433",143,7,20716,20711,95,7226,1,19420249,1,220,1.567725165
207,"ENSG00000142208",144,280,905,903,15,3249,1,19420249,1,3610,57.21405071
208,"ENSG00000105221",145,516,14996,14993,14,5263,1,19420249,1,1297,12.68971336
210,"ENSG00000148218",146,1047,2265,2261,12,3183,1,19420249,1,463,7.4901335
211,"ENSG00000023330",147,742,18105,18103,100,2435,1,19420249,1,1013,21.42178646
212,"ENSG00000158578",148,1102,18745,18742,12,2134,1,19420249,1,2118,51.10657145
213,"ENSG00000163631",149,800,22327,22324,103,2247,1,19420249,1,8,0.183329401
214,"ENSG00000170017",150,746,883,881,104,4741,1,19420249,1,10,0.10861136
215,"ENSG00000101986",151,1100,6224,6222,98,3664,1,19420249,1,190,2.670197236
216,"ENSG00000165092",152,1048,22637,22636,13,2096,1,19420249,1,1831,44.98236363
217,"ENSG00000111275",153,180,1813,1812,101,2400,1,19420249,1,566,12.14368226
218,"ENSG00000108602",154,420,8772,8769,11,2257,1,19420249,1,0,0
219,"ENSG00000137124",155,1037,14443,14441,90,3025,1,19420249,1,1314,22.36738392
220,"ENSG00000184254",156,324,296,295,101,3496,1,19420249,1,0,0
221,"ENSG00000006534",157,130,21100,21099,99,2930,1,19420249,1,14,0.246039945
222,"ENSG00000132746",158,130,21052,21050,11,2689,1,19420249,1,0,0
223,"ENSG00000143149",159,11,7190,7189,11,2500,1,19420249,1,1375,28.3209551
224,"ENSG00000072210",160,420,8729,8727,99,3827,1,19420249,1,1,0.013455094
225,"ENSG00000173208",161,177,14824,14822,10,5341,1,19420249,1,4,0.038564048
226,"ENSG00000149925",162,377,12319,12318,104,2787,1,19420249,1,42173,779.188857
229,"ENSG00000136872",163,1044,783,784,9,2426,1,19420249,1,1,0.021225328
230,"ENSG00000109107",164,418,11550,11547,9,1651,1,19420249,1,3046,95.00096827
231,"ENSG00000085662",165,944,4287,4283,10,1398,1,19420249,1,53,1.952153232
238,"ENSG00000171094",166,579,12158,12157,29,6220,1,19420249,1,0,0
238,"LRG_488",166,579,12158,12157,29,6220,1,19420249,1,0,0
239,"ENSG00000108839",167,423,21288,21286,102,2358,1,19420249,1,29,0.633285294
240,"ENSG00000275565",168,84,16377,16373,102,2554,1,19420249,1,221,4.455706612
240,"ENSG00000012779",168,84,16377,16373,102,2554,1,19420249,1,221,4.455706612
241,"ENSG00000132965",169,226,12685,12683,93,873,1,19420249,1,0,0
242,"ENSG00000179477",170,424,23298,23297,15,2502,1,19420249,1,0,0
245,"ENSG00000262943",172,421,21141,21140,100,2068,1,19420249,1,2,0.049799464
246,"ENSG00000161905",173,423,16235,16234,14,2684,1,19420249,1,0,0
247,"ENSG00000179593",174,423,23246,23243,102,2716,1,19420249,1,0,0
248,"ENSG00000163295",175,561,10447,10445,99,2550,1,19420249,1,0,0
249,"ENSG00000162551",176,12,9689,9685,100,2596,1,19420249,1,4,0.079341519
250,"ENSG00000163283",177,561,10443,10441,99,2867,1,19420249,1,0,0
251,"ENSG00000163286",178,561,10445,10443,99,2494,1,19420249,1,0,0
257,"ENSG00000156150",179,4,1578,1576,4,1478,1,19420249,1,27,0.940664027
258,"ENSG00000178522",180,798,21771,21768,101,1977,1,19420249,1,0,0
259,"ENSG00000106927",181,1045,2326,2320,10,1434,1,19420249,1,0,0
262,"ENSG00000123505",182,888,1660,1658,97,3421,1,19420249,1,2406,36.21493873
265,"ENSG00000125363",183,1097,1907,1906,95,835,1,19420249,1,0,0
266,"ENSG00000280256",184,1155,21031,21030,6,802,1,19420249,1,0,0
266,"ENSG00000099721",184,1155,21031,21030,6,802,1,19420249,1,0,0
267,"ENSG00000159461",185,375,19095,19094,14,3594,1,19420249,1,2785,39.90178578
268,"ENSG00000104899",186,507,10001,9999,93,2018,1,19420249,1,96,2.449600585
269,"ENSG00000135409",187,178,18460,18456,99,1863,1,19420249,1,1028,28.41354789
270,"ENSG00000116748",188,16,2182,2180,16,2407,1,19420249,1,0,0
271,"ENSG00000116337",189,18,1513,1511,106,4573,1,19420249,1,1403,15.79798422
272,"ENSG00000133805",190,138,855,854,107,5659,1,19420249,1,635,5.778022616
273,"ENSG00000078053",191,955,14455,14453,21,3271,1,19420249,1,3,0.047226517
274,"ENSG00000136717",192,570,3513,3509,20,2667,1,19420249,1,19,0.366839245
275,"LRG_537",193,739,17445,17440,9,2202,1,19420249,1,22,0.514458767
275,"ENSG00000145020",193,739,17445,17440,9,2202,1,19420249,1,22,0.514458767
276,"ENSG00000174876",194,11,786,786,99,2023,1,19420249,1,2,0.050907213
276,"ENSG00000187733",194,11,786,786,99,2023,1,19420249,1,2,0.050907213
276,"ENSG00000237763",194,11,786,786,99,2023,1,19420249,1,2,0.050907213
277,"ENSG00000174876",195,11,792,792,11,1838,1,19420249,1,0,0
277,"ENSG00000237763",195,11,792,792,11,1838,1,19420249,1,0,0
277,"ENSG00000187733",195,11,792,792,11,1838,1,19420249,1,0,0
278,"ENSG00000187733",196,11,801,800,99,1860,1,19420249,1,0,0
278,"ENSG00000237763",196,11,801,800,99,1860,1,19420249,1,0,0
278,"ENSG00000174876",196,11,801,800,99,1860,1,19420249,1,0,0
279,"ENSG00000243480",197,10,773,771,98,1632,1,19420249,1,0,0
280,"ENSG00000240038",198,12,761,760,100,2181,1,19420249,1,1,0.02360965
283,"ENSG00000214274",199,268,9448,9445,91,1324,1,19420249,1,0,0
284,"ENSG00000154188",200,992,1298,1296,9,4338,1,19420249,1,807,9.579198947
285,"ENSG00000091879",201,992,20343,20345,9,5270,1,19420249,1,31,0.302897916
286,"ENSG00000029534",202,1026,15184,15181,46,9281,1,19420249,1,10194,56.55813271
287,"ENSG00000145362",203,825,2004,2001,137,14521,1,19420249,1,5,0.017730406
287,"LRG_327",203,825,2004,2001,137,14521,1,19420249,1,5,0.017730406
288,"ENSG00000151150",204,112,20057,20056,46,15717,1,19420249,1,2453,8.036613842
290,"ENSG00000166825",205,332,24490,24488,21,3650,1,19420249,1,363,5.121049416
291,"ENSG00000151729",206,789,8346,8345,92,4420,1,19420249,1,905,10.54317744
292,"ENSG00000005022",207,1094,2511,2506,92,1351,1,19420249,1,7172,273.3569612
293,"ENSG00000169100",208,1146,5930,5934,8,2968,1,19420249,1,5379,93.32174559
301,"ENSG00000135046",209,1048,22699,22697,101,1399,1,19420249,1,14278,525.5268009
302,"ENSG00000182718",210,326,19875,19873,15,1812,1,19420249,1,3351,95.22729334
306,"ENSG00000138772",214,798,23251,23248,101,1618,1,19420249,1,203,6.46044936
307,"ENSG00000196975",215,563,21459,21455,101,2142,1,19420249,1,427,10.2648738
308,"ENSG00000164111",216,798,2970,2967,13,1599,1,19420249,1,2167,69.78396692
309,"ENSG00000197043",217,858,5925,5923,27,3115,1,19420249,1,930,15.37340624
310,"ENSG00000138279",218,84,22561,22560,14,2204,1,19420249,1,6597,154.1274879
311,"ENSG00000122359",219,87,23545,23542,17,2730,1,19420249,1,7513,141.7085153
312,"ENSG00000104537",220,995,3220,3218,12,1593,1,19420249,1,0,0
313,"ENSG00000136250",221,956,13979,13976,22,2557,1,19420249,1,0,0
314,"ENSG00000131480",222,413,15063,15062,92,2665,1,19420249,1,4,0.077287273
316,"ENSG00000138356",223,585,8982,8978,123,4934,1,19420249,1,0,0
317,"ENSG00000120868",224,194,25521,25518,115,7191,1,19420249,1,284,2.033640851
318,"ENSG00000164978",225,1040,13484,13481,93,1060,1,19420249,1,99,4.809218791
319,"ENSG00000175336",226,169,19187,19186,2,1689,1,19420249,1,6,0.182922365
320,"ENSG00000107282",227,1048,21883,21881,13,6584,1,19420249,1,0,0
320,"ENSG00000276497",227,1048,21883,21881,13,6584,1,19420249,1,0,0
321,"ENSG00000034053",228,325,12118,12115,102,3639,1,19420249,1,1731,24.49402847
321,"ENSG00000276495",228,325,12118,12115,102,3639,1,19420249,1,1731,24.49402847
322,"ENSG00000166313",229,135,20442,20441,16,2711,1,19420249,1,4,0.07597587
323,"ENSG00000163697",230,805,15014,15014,20,9189,1,19420249,1,54,0.302601248
324,"LRG_130",231,849,1795,1793,106,11200,1,19420249,1,1410,6.482556281
324,"ENSG00000134982",231,849,1795,1793,106,11200,1,19420249,1,1410,6.482556281
325,"ENSG00000132703",232,2,6846,6843,90,931,1,19420249,1,0,0
326,"ENSG00000160224",233,670,16334,16331,102,2969,1,19420249,1,0,0
326,"LRG_18",233,670,16334,16331,102,2969,1,19420249,1,0,0
327,"ENSG00000164062",234,752,17513,17511,110,2758,1,19420249,1,2373,44.30458597
328,"ENSG00000100823",235,270,9376,9374,93,1548,1,19420249,1,3744,124.5403522
329,"ENSG00000110330",236,128,493,491,97,3743,1,19420249,1,619,8.515615189
330,"ENSG00000023445",237,128,485,483,97,5229,1,19420249,1,15,0.147712695
331,"LRG_19",238,1097,3024,3022,95,8413,1,19420249,1,484,2.962372577
331,"ENSG00000101966",238,1097,3024,3022,95,8413,1,19420249,1,484,2.962372577
331,"ENSG00000270294",238,1097,3024,3022,95,8413,1,19420249,1,484,2.962372577
332,"ENSG00000089685",239,414,22787,22784,93,2700,1,19420249,1,582,11.09952584
333,"ENSG00000105290",240,519,13947,13945,105,2450,1,19420249,1,147,3.089558738
334,"ENSG00000084234",241,137,3765,3760,106,3812,1,19420249,1,12330,166.554124
335,"ENSG00000118137",242,123,2316,2311,4,897,1,19420249,1,0,0
336,"ENSG00000158874",243,4,7001,6998,4,473,1,19420249,1,3,0.326591833
337,"ENSG00000110244",244,122,2313,2308,3,1460,1,19420249,1,0,0
338,"ENSG00000084674",245,579,9476,9474,29,14121,1,19420249,1,1,0.00364653
339,"ENSG00000111701",246,172,23073,23067,5,892,1,19420249,1,0,0
341,"ENSG00000130208",247,506,16258,16255,92,461,1,19420249,1,968,108.1233861
342,"ENSG00000214855",248,505,16261,16258,91,939,1,19420249,1,13,0.712890728
343,"ENSG00000103375",249,367,11145,11141,94,1308,1,19420249,1,0,0
344,"ENSG00000224916",250,506,16269,16266,92,721,1,19420249,1,1,0.071418371
344,"ENSG00000234906",250,506,16269,16266,92,721,1,19420249,1,1,0.071418371
345,"ENSG00000110245",251,123,2315,2310,92,533,1,19420249,1,0,0
346,"ENSG00000267467",252,505,16268,16265,91,613,1,19420249,1,1,0.084001053
346,"ENSG00000224916",252,505,16268,16265,91,613,1,19420249,1,1,0.084001053
347,"ENSG00000189058",253,735,8715,8712,5,1130,1,19420249,1,4,0.182274852
348,"ENSG00000130203",254,506,16255,16251,92,1180,1,19420249,1,6212,271.0782328
350,"ENSG00000091583",255,417,20448,20447,8,1201,1,19420249,1,0,0
351,"ENSG00000142192",256,674,11665,11664,18,3633,1,19420249,1,13,0.184256646
353,"ENSG00000198931",257,366,24220,24218,5,807,1,19420249,1,2147,136.9946842
354,"ENSG00000142515",258,507,17934,17931,93,2214,1,19420249,1,0,0
355,"ENSG00000026103",259,79,24550,24547,97,2689,1,19420249,1,4,0.076597465
355,"LRG_134",259,79,24550,24547,97,2689,1,19420249,1,4,0.076597465
356,"ENSG00000117560",260,4,7599,7597,92,1860,1,19420249,1,0,0
356,"LRG_58",260,4,7599,7597,92,1860,1,19420249,1,0,0
357,"ENSG00000146950",261,1100,25359,25356,98,7445,1,19420249,1,0,0
358,"ENSG00000240583",262,940,12600,12596,94,3172,1,19420249,1,118,1.915552391
359,"LRG_717",263,171,17696,17694,92,4179,1,19420249,1,1,0.012321763
359,"ENSG00000167580",263,171,17696,17694,92,4179,1,19420249,1,1,0.012321763
360,"ENSG00000165272",264,1041,13293,13292,6,1824,1,19420249,1,307,8.666799458
361,"ENSG00000171885",265,468,10884,10883,5,5218,1,19420249,1,0,0
362,"ENSG00000161798",266,171,17702,17700,92,1821,1,19420249,1,0,0
363,"ENSG00000086159",267,171,17709,17707,92,2654,1,19420249,1,0,0
364,"ENSG00000165269",268,1043,13279,13278,8,1256,1,19420249,1,0,0
366,"ENSG00000103569",269,317,19604,19603,94,3021,1,19420249,1,1,0.017044901
367,"ENSG00000169083",270,1099,20914,20913,97,4496,1,19420249,1,0,0
368,"ENSG00000275331",271,392,7072,7068,31,5579,1,19420249,1,2,0.018459454
368,"ENSG00000091262",271,392,7072,7068,31,5579,1,19420249,1,2,0.018459454
369,"ENSG00000078061",272,1106,16849,16846,104,2479,1,19420249,1,877,18.21663987
372,"ENSG00000095139",273,129,2492,2488,98,4016,1,19420249,1,4919,63.07079778
373,"ENSG00000113595",274,842,20563,20561,11,3900,1,19420249,1,180,2.376583645
374,"ENSG00000109321",275,791,22601,22599,94,1238,1,19420249,1,7,0.291153893
375,"ENSG00000143761",276,6,10146,10142,94,2198,1,19420249,1,12747,298.6245468
377,"ENSG00000134287",277,172,17408,17404,5,3537,1,19420249,1,2722,39.6276453
377,"ENSG00000272822",277,172,17408,17404,5,3537,1,19420249,1,2722,39.6276453
